"v / cm^-1","v / THz","I_IR,Norm / AU"
"12.0","0.359750944421","0.000119257357213"
"13.0","0.38973018979","0.00012302057753"
"14.0","0.419709435158","0.000127112318359"
"15.0","0.449688680526","0.000131572981756"
"16.0","0.479667925895","0.000136455904776"
"17.0","0.509647171263","0.000141829880854"
"18.0","0.539626416632","0.000147783257408"
"19.0","0.569605662","0.000154430052527"
"20.0","0.599584907369","0.000161918919991"
"21.0","0.629564152737","0.000170446356145"
"22.0","0.659543398105","0.000180276462044"
"23.0","0.689522643474","0.00019177116289"
"24.0","0.719501888842","0.000205437649704"
"25.0","0.749481134211","0.000222005181776"
"26.0","0.779460379579","0.000242553928455"
"27.0","0.809439624948","0.000268740257082"
"28.0","0.839418870316","0.000303210316042"
"29.0","0.869398115685","0.000350404565537"
"30.0","0.899377361053","0.000418236265411"
"31.0","0.929356606421","0.000521908210464"
"32.0","0.95933585179","0.000693582276538"
"33.0","0.989315097158","0.00101050406983"
"34.0","1.01929434253","0.00169248433496"
"35.0","1.0492735879","0.00350780545837"
"36.0","1.07925283326","0.00887930145358"
"37.0","1.10923207863","0.00988516356501"
"38.0","1.139211324","0.0039754341528"
"39.0","1.16919056937","0.00187862338389"
"40.0","1.19916981474","0.00112521450525"
"41.0","1.22914906011","0.000792808183636"
"42.0","1.25912830547","0.000624055330251"
"43.0","1.28910755084","0.000531081554149"
"44.0","1.31908679621","0.000478230000159"
"45.0","1.34906604158","0.00044913698926"
"46.0","1.37904528695","0.000435686324543"
"47.0","1.40902453232","0.000433772700014"
"48.0","1.43900377768","0.000441549686207"
"49.0","1.46898302305","0.000458761451083"
"50.0","1.49896226842","0.000486745207297"
"51.0","1.52894151379","0.000529272719869"
"52.0","1.55892075916","0.000595519199646"
"53.0","1.58890000453","0.000711073187066"
"54.0","1.6188792499","0.000962333569719"
"55.0","1.64885849526","0.00139311062164"
"56.0","1.67883774063","0.00130596387406"
"57.0","1.708816986","0.00144340873848"
"58.0","1.73879623137","0.00200173399543"
"59.0","1.76877547674","0.00339253203581"
"60.0","1.79875472211","0.00740592110925"
"61.0","1.82873396747","0.0151647505021"
"62.0","1.85871321284","0.0131173036841"
"63.0","1.88869245821","0.00817988488819"
"64.0","1.91867170358","0.00381689607921"
"65.0","1.94865094895","0.00233696300092"
"66.0","1.97863019432","0.00183038443061"
"67.0","2.00860943968","0.00178294036043"
"68.0","2.03858868505","0.0022644627649"
"69.0","2.06856793042","0.00412280115751"
"70.0","2.09854717579","0.00605090508664"
"71.0","2.12852642116","0.00312705632278"
"72.0","2.15850566653","0.00184863425001"
"73.0","2.1884849119","0.00143866475051"
"74.0","2.21846415726","0.00130157087851"
"75.0","2.24844340263","0.001278191596"
"76.0","2.278422648","0.00132025394026"
"77.0","2.30840189337","0.00141438640378"
"78.0","2.33838113874","0.00156339845567"
"79.0","2.36836038411","0.0017834077584"
"80.0","2.39833962947","0.00210939482891"
"81.0","2.42831887484","0.00261280420277"
"82.0","2.45829812021","0.00344933723976"
"83.0","2.48827736558","0.00500298650572"
"84.0","2.51825661095","0.00840289977954"
"85.0","2.54823585632","0.0177136122171"
"86.0","2.57821510169","0.0431565365309"
"87.0","2.60819434705","0.0369255392755"
"88.0","2.63817359242","0.0153732673561"
"89.0","2.66815283779","0.00838752972476"
"90.0","2.69813208316","0.0060465313496"
"91.0","2.72811132853","0.00537320702829"
"92.0","2.7580905739","0.00569940133101"
"93.0","2.78806981926","0.0073758284797"
"94.0","2.81804906463","0.0126717501349"
"95.0","2.84802831","0.0207328216234"
"96.0","2.87800755537","0.0134220125847"
"97.0","2.90798680074","0.010364891084"
"98.0","2.93796604611","0.0111659318938"
"99.0","2.96794529147","0.0144968398206"
"100.0","2.99792453684","0.0217186697607"
"101.0","3.02790378221","0.0383432139457"
"102.0","3.05788302758","0.0848422074176"
"103.0","3.08786227295","0.211410668297"
"104.0","3.11784151832","0.175733025182"
"105.0","3.14782076369","0.0700201782558"
"106.0","3.17780000905","0.0356206311299"
"107.0","3.20777925442","0.0238593464125"
"108.0","3.23775849979","0.0203624492162"
"109.0","3.26773774516","0.0219962888259"
