"v / cm^-1","v / THz","I_IR,Norm / AU"
"6.0","0.179875472211","0.000499957150068"
"7.0","0.209854717579","0.000524434429937"
"8.0","0.239833962947","0.000551621990838"
"9.0","0.269813208316","0.000581868421737"
"10.0","0.299792453684","0.000615702651568"
"11.0","0.329771699053","0.000653871283584"
"12.0","0.359750944421","0.000697449278462"
"13.0","0.38973018979","0.000748095558784"
"14.0","0.419709435158","0.000808714218023"
"15.0","0.449688680526","0.000885551820796"
"16.0","0.479667925895","0.000996479628866"
"17.0","0.509647171263","0.0011937359713"
"18.0","0.539626416632","0.00134617559701"
"19.0","0.569605662","0.00135609902034"
"20.0","0.599584907369","0.0014919444958"
"21.0","0.629564152737","0.0017385661608"
"22.0","0.659543398105","0.00215449157809"
"23.0","0.689522643474","0.00298022838184"
"24.0","0.719501888842","0.00443970984756"
"25.0","0.749481134211","0.00508679308609"
"26.0","0.779460379579","0.00722085162712"
"27.0","0.809439624948","0.0104906428852"
"28.0","0.839418870316","0.0185625923665"
"29.0","0.869398115685","0.0315800566475"
"30.0","0.899377361053","0.0315715358951"
"31.0","0.929356606421","0.0287810527887"
"32.0","0.95933585179","0.0248170784152"
"33.0","0.989315097158","0.021303089068"
"34.0","1.01929434253","0.0261811480299"
"35.0","1.0492735879","0.0332486502727"
"36.0","1.07925283326","0.0237465453291"
"37.0","1.10923207863","0.0175546764771"
"38.0","1.139211324","0.0121784785151"
"39.0","1.16919056937","0.0137514398798"
"40.0","1.19916981474","0.0127613378978"
"41.0","1.22914906011","0.00783978268416"
"42.0","1.25912830547","0.006938620893"
"43.0","1.28910755084","0.00783562903101"
"44.0","1.31908679621","0.0087259904514"
"45.0","1.34906604158","0.00888867966523"
"46.0","1.37904528695","0.0117914163898"
"47.0","1.40902453232","0.00960997722266"
"48.0","1.43900377768","0.00656361526135"
"49.0","1.46898302305","0.00592007348256"
"50.0","1.49896226842","0.00629520451116"
"51.0","1.52894151379","0.00768161269055"
"52.0","1.55892075916","0.00828056032726"
"53.0","1.58890000453","0.00831517557514"
"54.0","1.6188792499","0.00932576363757"
"55.0","1.64885849526","0.0110389628214"
"56.0","1.67883774063","0.0135774356174"
"57.0","1.708816986","0.017406358533"
"58.0","1.73879623137","0.0236549262063"
"59.0","1.76877547674","0.0346010654793"
"60.0","1.79875472211","0.0494123944913"
"61.0","1.82873396747","0.0815206518354"
"62.0","1.85871321284","0.16939863554"
"63.0","1.88869245821","0.365754160254"
"64.0","1.91867170358","0.381366919632"
"65.0","1.94865094895","0.537121183808"
"66.0","1.97863019432","0.464945430037"
"67.0","2.00860943968","0.287408568795"
"68.0","2.03858868505","0.134225459309"
"69.0","2.06856793042","0.080123124719"
"70.0","2.09854717579","0.0595418899408"
"71.0","2.12852642116","0.0449794978645"
"72.0","2.15850566653","0.0518115217214"
"73.0","2.1884849119","0.073491404587"
"74.0","2.21846415726","0.059036657672"
"75.0","2.24844340263","0.0436835147309"
"76.0","2.278422648","0.0311577641645"
"77.0","2.30840189337","0.0205344728576"
"78.0","2.33838113874","0.018767088514"
"79.0","2.36836038411","0.026053148481"
"80.0","2.39833962947","0.0325234794076"
"81.0","2.42831887484","0.0400073891439"
"82.0","2.45829812021","0.0283687929353"
"83.0","2.48827736558","0.0141697007338"
"84.0","2.51825661095","0.00878940571794"
"85.0","2.54823585632","0.00654589458103"
"86.0","2.57821510169","0.00542889684726"
"87.0","2.60819434705","0.0048582248253"
"88.0","2.63817359242","0.00468105721862"
"89.0","2.66815283779","0.00502043465079"
"90.0","2.69813208316","0.00656693252516"
"91.0","2.72811132853","0.00840214963233"
"92.0","2.7580905739","0.00894970785868"
"93.0","2.78806981926","0.0137792743994"
"94.0","2.81804906463","0.0117693431066"
"95.0","2.84802831","0.00997662170802"
"96.0","2.87800755537","0.00992630721608"
