"v / cm^-1","v / THz","I_IR,Norm / AU"
"-2.0","-0.0599584907369","0.000138955133897"
"-1.0","-0.0299792453684","0.000144982666376"
"0.0","0.0","0.000151568956744"
"1.0","0.0299792453684","0.000158617178945"
"2.0","0.0599584907369","0.000166306581436"
"3.0","0.0899377361053","0.00017481738553"
"4.0","0.119916981474","0.000184254621068"
"5.0","0.149896226842","0.000194779840292"
"6.0","0.179875472211","0.00020660926286"
"7.0","0.209854717579","0.000220028402058"
"8.0","0.239833962947","0.000235420393765"
"9.0","0.269813208316","0.000253312410281"
"10.0","0.299792453684","0.000274452950709"
"11.0","0.329771699053","0.00029994674689"
"12.0","0.359750944421","0.000331505651957"
"13.0","0.38973018979","0.00037195596849"
"14.0","0.419709435158","0.00042638831446"
"15.0","0.449688680526","0.000505041855601"
"16.0","0.479667925895","0.000631028932146"
"17.0","0.509647171263","0.000863284357219"
"18.0","0.539626416632","0.00125774466545"
"19.0","0.569605662","0.00227037619841"
"20.0","0.599584907369","0.00363517110548"
"21.0","0.629564152737","0.00484752864118"
"22.0","0.659543398105","0.0031188644476"
"23.0","0.689522643474","0.00274892902965"
"24.0","0.719501888842","0.00448638088686"
"25.0","0.749481134211","0.00549552454648"
"26.0","0.779460379579","0.00333570664337"
"27.0","0.809439624948","0.00306595890915"
"28.0","0.839418870316","0.00412450105413"
"29.0","0.869398115685","0.00760014441736"
"30.0","0.899377361053","0.0179289006798"
"31.0","0.929356606421","0.0224509733943"
"32.0","0.95933585179","0.019592005726"
"33.0","0.989315097158","0.0102027200638"
"34.0","1.01929434253","0.00494770831481"
"35.0","1.0492735879","0.00339523878569"
"36.0","1.07925283326","0.00272805060936"
"37.0","1.10923207863","0.00200980347499"
"38.0","1.139211324","0.00173355585866"
"39.0","1.16919056937","0.00146055860987"
"40.0","1.19916981474","0.00139011284559"
"41.0","1.22914906011","0.0014743711807"
"42.0","1.25912830547","0.00176598394514"
"43.0","1.28910755084","0.00257583218458"
"44.0","1.31908679621","0.00489100314838"
"45.0","1.34906604158","0.00537564529117"
"46.0","1.37904528695","0.0035054951875"
"47.0","1.40902453232","0.0036693296514"
"48.0","1.43900377768","0.00604878808796"
"49.0","1.46898302305","0.0126786186313"
"50.0","1.49896226842","0.00975776994315"
"51.0","1.52894151379","0.00482034054852"
"52.0","1.55892075916","0.00333054531694"
"53.0","1.58890000453","0.00293306199083"
"54.0","1.6188792499","0.00296186107865"
"55.0","1.64885849526","0.00324277479761"
"56.0","1.67883774063","0.00376982501428"
"57.0","1.708816986","0.00462609365755"
"58.0","1.73879623137","0.00603384824602"
"59.0","1.76877547674","0.00856144135042"
"60.0","1.79875472211","0.0139237453808"
"61.0","1.82873396747","0.0280897543275"
"62.0","1.85871321284","0.0485979911294"
"63.0","1.88869245821","0.0421995793969"
"64.0","1.91867170358","0.0678592570311"
"65.0","1.94865094895","0.114821642234"
"66.0","1.97863019432","0.066568751061"
"67.0","2.00860943968","0.047940894548"
"68.0","2.03858868505","0.0713805136712"
"69.0","2.06856793042","0.12670858333"
"70.0","2.09854717579","0.0993150032033"
"71.0","2.12852642116","0.1195136192"
"72.0","2.15850566653","0.072020348121"
"73.0","2.1884849119","0.0425621000998"
"74.0","2.21846415726","0.0325989413484"
"75.0","2.24844340263","0.0191841069252"
"76.0","2.278422648","0.0121876317484"
"77.0","2.30840189337","0.0101747004469"
"78.0","2.33838113874","0.0117883150763"
"79.0","2.36836038411","0.0209116582331"
"80.0","2.39833962947","0.0293743634523"
"81.0","2.42831887484","0.0161303762195"
"82.0","2.45829812021","0.00921575746029"
"83.0","2.48827736558","0.00637374583096"
"84.0","2.51825661095","0.00665122292594"
"85.0","2.54823585632","0.0111912615843"
"86.0","2.57821510169","0.012059315369"
"87.0","2.60819434705","0.00564850136158"
"88.0","2.63817359242","0.00322605802308"
"89.0","2.66815283779","0.00227579600523"
"90.0","2.69813208316","0.00182889378206"
"91.0","2.72811132853","0.00165838826294"
"92.0","2.7580905739","0.00185144045722"
