"Mode #","v / cm^-1","v / THz","IR Activity / e^2 amu^-1","Raman Activity / A^4 amu^-1"
"75","152.046581","4.558241759230086","0.02323735579934065","0.4676016"
"76","151.152509","4.531438155365041","9.521977400914824e-05","350.6375092"
"77","150.616713","4.515375395613617","1.96673289597444e-06","1.3215162"
"78","149.472227","4.481064568998883","0.46228986870387867","0.4334327"
"79","149.004987","4.467057066392937","9.599310115678e-06","2.5367542"
"80","146.807841","4.401188287348669","3.473298294946091e-05","0.3659194"
"81","146.165177","4.381921705603212","0.000205933158599121","758.4511772"
"82","134.91682","4.044704451108498","0.33299016876929305","0.1979193"
"83","133.359625","3.9980209201170034","0.00040957753492151924","37.6208761"
"84","129.891046","3.8940355391962145","1.406208608504e-08","0.1340308"
"85","113.085954","3.390231562689151","6.563508208533e-08","0.4894979"
"86","112.852632","3.3832367452012972","4.74793437080164e-06","6.478341"
"87","112.767797","3.3806934559204667","0.029338209575569468","0.0338738"
"88","111.975149","3.35693046703767","6.696971826354843e-05","11.4720431"
"89","111.107414","3.3309164265578945","4.7679334739009e-07","4.2327801"
"90","110.18118","3.3031486302033106","2.4667119800165e-07","9.5086174"
"91","104.348298","3.1282832295202034","9.38943913249e-09","11.2693519"
"92","98.051929","2.9395228383390184","1.915601652482e-06","166.499919"
"93","96.456849","2.8917035436367406","1.88552383277e-09","7.8685674"
"94","96.214477","2.8844374139783033","6.49475817933e-09","5.6749474"
"95","94.623394","2.8367379463197633","3.379213352859776e-05","21.4982395"
"96","94.466364","2.832030305419558","0.00064711193558841","0.7963786"
"97","93.607296","2.806276095059391","8.0167932713e-06","19.8718339"
"98","92.741068","2.780307233302385","0.006481305748123713","0.0752214"
"99","85.591563","2.5659704686445575","0.0769724901737657","0.0162914"
"100","81.272688","2.4364938553039734","0.018097824082072483","0.0021088"
"101","79.77911","2.3917175139650824","0.17147339944708065","0.0149086"
"102","78.853454","2.3639670456143214","0.0009217782964954483","0.0120993"
"103","76.815171","2.3028608594270192","4.4252737018e-08","0.0033292"
"104","74.085193","2.221018179114599","0.07270500961798049","0.543629"
"105","73.218318","2.19502992078584","0.05238653674400552","1.8605156"
"106","73.146049","2.192863350702309","0.0003960247874697","61.2414352"
"107","72.264533","2.1664361662421108","0.006723861815881913","3.1805847"
"108","71.114491","2.131958774940109","0.6194978010738321","0.0440946"
"109","70.34136","2.108780890989168","4.59571317044e-06","0.003808"
"110","69.005656","2.068737493033573","0.6703679452666594","0.003871"
"111","65.880585","1.9750502227308036","1.0153048852182e-07","0.0005204"
"112","65.624544","1.9673743067674252","0.03265858313606206","0.2798561"
"113","64.921745","1.9463049231017369","0.6579435845838258","0.0279265"
"114","61.90834","1.8559653152122788","0.22797282868457708","0.0007705"
"115","53.973766","1.6180927743723021","3.352063853533372e-05","573.9242641"
"116","51.215186","1.5353926276838548","3.2743431509966e-05","237.1965659"
"117","49.301696","1.4780276414638147","0.08059242172517507","0.059864"
"118","46.917295","1.4065450988280814","3.3064241188985e-07","0.0419715"
"119","44.542153","1.3353401340252145","0.03020540322184468","0.0228815"
"120","39.800718","1.193195490761746","8.8811159745662e-07","38.9653249"
"121","37.782986","1.13270540804601","1.09070492078e-07","2.2877921"
"122","37.761114","1.1320497019913116","0.0016265253337454004","0.0328704"
"123","37.003249","1.109329481200165","4.02372068486696e-06","188.0680498"
"124","35.623374","1.067961869997401","0.005145279341125893","0.0020355"
"125","34.285811","1.0278627406246656","1.191668199796e-06","1.6822101"
"126","33.789471","1.0129828419784983","1.3750634740541e-07","0.005215"
"127","32.392552","0.9711042645176746","9.40380071445e-05","193.2217965"
"128","32.269584","0.9674177766732093","0.007263500172392866","0.5796496"
"129","32.032087","0.9602977958359428","0.07880228191392996","0.1723454"
"130","30.534693","0.9154070536967258","0.12602293426476469","0.0469268"
"131","28.626005","0.8581860278129452","2.40210716841e-07","0.0076294"
"132","28.149056","0.8438874567137172","3.77702161385529e-06","0.0065715"
"133","27.218271","0.8159832248134617","0.00025823163714331314","10.1185164"
"134","24.663121","0.7393817560103142","0.03025512705839081","0.0006232"
"135","23.50884","0.7047772826871957","3.09022631079269e-06","0.4463251"
"136","22.49016","0.674238025015282","1.649122733941e-06","0.0124221"
"137","20.981447","0.6290079477977397","0.023407303295665437","0.1154046"
"138","19.604003","0.587713216140466","0.008823894235115556","0.0663181"
"139","17.354038","0.5202609633350831","0.0004807843257388967","0.0055147"
"140","16.760396","0.5024640241560768","1.05136888377e-07","0.0041203"
"141","15.305294","0.45884116426198146","5.285029700984e-06","16.8089661"
"142","0.179095","0.005369132949259228","3.82864705174e-07","-"
"143","0.277664","0.008324157185980147","1.45635635142e-07","-"
"144","0.410067","0.012293499210496574","4.9734360643541e-07","-"
