"v / cm^-1","v / THz","I_IR,Norm / AU"
"38.0","1.139211324","0.00162119560038"
"39.0","1.16919056937","0.00132091985151"
"40.0","1.19916981474","0.00116720479882"
"41.0","1.22914906011","0.0010948170532"
"42.0","1.25912830547","0.00107538293588"
"43.0","1.28910755084","0.00109706778425"
"44.0","1.31908679621","0.00115758526217"
"45.0","1.34906604158","0.00126275853375"
"46.0","1.37904528695","0.00142918511911"
"47.0","1.40902453232","0.00169344990294"
"48.0","1.43900377768","0.00213803583373"
"49.0","1.46898302305","0.00297134329642"
"50.0","1.49896226842","0.00482180831204"
"51.0","1.52894151379","0.00998987033188"
"52.0","1.55892075916","0.022892142468"
"53.0","1.58890000453","0.0167243114836"
"54.0","1.6188792499","0.00739182178506"
"55.0","1.64885849526","0.00444691430913"
"56.0","1.67883774063","0.00345099159871"
"57.0","1.708816986","0.00314089466874"
"58.0","1.73879623137","0.00315782880273"
"59.0","1.76877547674","0.00339158613629"
"60.0","1.79875472211","0.0038245223908"
"61.0","1.82873396747","0.00449465947219"
"62.0","1.85871321284","0.00550179091592"
"63.0","1.88869245821","0.00705266587612"
"64.0","1.91867170358","0.00959003329097"
"65.0","1.94865094895","0.0141828562044"
"66.0","1.97863019432","0.0239321863282"
"67.0","2.00860943968","0.0492243596353"
"68.0","2.03858868505","0.0945601662898"
"69.0","2.06856793042","0.153175434261"
"70.0","2.09854717579","0.120887117822"
"71.0","2.12852642116","0.0554093237989"
"72.0","2.15850566653","0.0391802920927"
"73.0","2.1884849119","0.0468970105886"
"74.0","2.21846415726","0.0919985796446"
"75.0","2.24844340263","0.175575829227"
"76.0","2.278422648","0.0941814344485"
"77.0","2.30840189337","0.0445020221303"
"78.0","2.33838113874","0.0315932288783"
"79.0","2.36836038411","0.0349409588944"
"80.0","2.39833962947","0.0616039963807"
"81.0","2.42831887484","0.139141669507"
"82.0","2.45829812021","0.105847937544"
"83.0","2.48827736558","0.0424876892848"
"84.0","2.51825661095","0.0212352713559"
"85.0","2.54823585632","0.0129110590827"
"86.0","2.57821510169","0.00893317807806"
"87.0","2.60819434705","0.00680085028838"
"88.0","2.63817359242","0.00566322963103"
"89.0","2.66815283779","0.00530421690364"
"90.0","2.69813208316","0.00610990700423"
"91.0","2.72811132853","0.0101039395747"
"92.0","2.7580905739","0.0157485135062"
