"Mode #","v / cm^-1","v / THz","IR Activity / A^2 e^2","Raman Activity / A^4 amu^-1"
"53","1228.215326","36.82096862342201","0.00607036338229","681.505258"
"54","1227.384539","36.7960622561001","0.00251177923769","231.9258733"
"55","1225.101906","36.72763064130703","0.00434513545962","720.3364185"
"56","1223.66722","36.68461983768638","0.0002985660887249","45.9945247"
"57","1009.518766","30.264610789950122","0.0179603576805","199.2695285"
"58","1008.931767","30.247013002898097","0.01097668977677","62.0803756"
"59","1008.324222","30.228799262270734","0.0242925245865921","97.3574681"
"60","1007.837416","30.214205185749908","0.02099709040865","55.2927617"
"61","906.423722","27.173899169604883","0.0245887185192461","15.1670105"
"62","906.066422","27.163187585234745","0.06459338175236","44.734023"
"63","904.078961","27.10360500425556","0.06340786936644","45.2609969"
"64","903.693978","27.09206350443588","0.0865934105767225","62.7248681"
"65","891.10009","26.71450824594134","0.07415805955621","468.2231186"
"66","889.685316","26.672094389054458","0.054254936458","118.9147333"
"67","886.191623","26.56735610936549","0.0113042060845736","14.2768925"
"68","883.99729","26.501571661938442","0.185870849993","438.2092651"
"69","309.616881","9.282080445707438","0.0006686292141418","40.8998542"
"70","308.883586","9.260096814974993","0.02902413853976","119.5856977"
"71","303.536076","9.099782500574852","0.0047837471029421","33.4965617"
"72","301.955214","9.052389450783224","0.0174845829298896","122.2963729"
"73","172.432344","5.1693915502297765","0.04361348447730774","2.5944745"
"74","171.2305","5.1333611740592","0.0955080318075556","3.1641802"
"75","167.79427","5.030345591746834","0.059506130462157955","3.3299275"
"76","167.01467","5.006973772057605","0.1040404832730625","6.065755"
"77","138.66799","4.157161696957197","0.02347049781936","5.6928811"
"78","131.997983","3.9571999204950417","0.0471496914756","202.1732866"
"79","129.626316","3.88609913356983","0.09212815622225","64.6824704"
"80","129.081421","3.869763592664799","0.06864743328244","93.8039734"
"81","116.198558","3.483545081739912","0.01653774342776","22.2549276"
"82","114.900159","3.444620059532786","0.02840451134729","47.3638239"
"83","113.892588","3.41441384129767","0.01378026045892","5.4923343"
"84","113.300854","3.3966741025188267","0.02674285230061","48.6670311"
"85","111.65159","3.347230412385506","0.0011472145098","6.4091436"
"86","109.863051","3.293611362853497","0.0090895965831149","26.304821"
"87","108.575537","3.255012664732206","0.02437870567745","19.3338814"
"88","107.544982","3.2241174035215425","0.07922788754036","58.54877"
"89","105.533491","3.1638144212761508","0.0606005101999556","8.356134"
"90","103.560213","3.1046570359340233","0.0100354993212825","22.3282895"
"91","101.229898","3.034795950763287","0.04541289936825","13.2650193"
"92","98.767357","2.9609708298944644","0.077668506793","44.4972682"
"93","98.374099","2.9491812518193656","0.002222200976440324","12.9342353"
"94","98.127083","2.9417758985454374","0.0023874917245181","94.0956292"
"95","97.492883","2.922763061132778","0.00864003234958","18.2533636"
"96","94.662351","2.837905847781581","0.00643513046072","1.5816801"
"97","93.176262","2.793354021011254","0.0225453336756081","51.1204221"
"98","90.754973","2.7207656039723704","0.0085590912744164","0.4019662"
"99","81.666568","2.448302080469691","0.03078545603653","3.8950702"
"100","80.966026","2.427300359960799","0.0512706298568129","2.1526257"
"101","80.242466","2.405608577182017","0.0051125417440244","21.217912"
"102","79.425276","2.3811098376593884","0.03232082521029","21.3795905"
"103","75.76363","2.271336453773053","0.02446908722872","12.6403447"
"104","74.548843","2.2349180562296724","0.04086212127149","29.5769774"
"105","73.633822","2.2074864171534045","0.02408125057874","7.4823601"
"106","73.085931","2.19106105842925","0.07055269235825","3.9804778"
"107","72.73224","2.180457669155644","0.04120705409448","6.9701002"
"108","69.637525","2.0876804488252785","0.03557602519704","0.5877135"
"109","66.726914","2.000422527484223","0.34911265191","4.7931848"
"110","65.656116","1.968320811502197","0.508067300004","14.1247978"
"111","65.071361","1.95079029787678","0.7108966257880841","1.9711202"
"112","64.332835","1.928649845711814","0.032679867412","1.0988201"
"113","63.163528","1.8935949042477893","0.691117594981","27.4535953"
"114","59.26612","1.7767535535149017","0.009729827936468882","23.0215899"
"115","51.466549","1.5429283007373997","0.004845017957397161","0.2236829"
"116","46.298692","1.3879998477054338","0.01915716423445","441.5549738"
"117","44.403152","1.331172988939757","0.00541556238548","232.4054885"
"118","43.790132","1.3127951119440013","0.0005969472032","6.3342277"
"119","43.355708","1.299771408254066","0.00542386289105","244.6044966"
"120","42.130531","1.263041526351307","0.00172930616676","11.8913108"
"121","39.913933","1.1965895910261328","0.00202081766905","1.733828"
"122","39.524315","1.1849091374041751","0.02086219398198","72.3130776"
"123","38.522743","1.1548827646620246","0.00320169751044","82.6143251"
"124","37.600157","1.127224332594545","5.3691192622084e-05","1.7487455"
"125","36.596556","1.0971371319635417","0.02152507428662","9.9302235"
"126","36.039904","1.0804491250707136","0.00299456025701","29.8510129"
"127","34.946712","1.0476760538679073","0.057899601211","40.0561139"
"128","34.005637","1.0194633355328107","0.0017177879980876","4.6825056"
"129","33.519884","1.004900827157359","0.019302665021","5.4228124"
"130","31.569364","0.9464257094813262","0.0358969159349","22.5765609"
"131","30.577945","0.9167037160174012","0.01841172221837","17.5634159"
"132","29.532833","0.8853720469319091","0.04276207412036","5.0070816"
"133","28.702394","0.8604761123873943","0.03095641263768","40.8847954"
"134","27.66491","0.8293731249855726","0.00075139347069","1.3880754"
"135","27.1323","0.8134058791098924","0.00249121674238","15.2984014"
"136","26.476668","0.7937505265104968","0.0007248503615096","1.1066463"
"137","26.076626","0.7817575692348189","0.0031262448451041","15.5523874"
"138","24.079734","0.721892253992561","0.00366190928699","5.5617757"
"139","23.168379","0.6945705188298142","3.50614643596e-05","0.3476278"
"140","17.726516","0.5314275726914258","0.0004512161322","1.1150977"
"141","17.40876","0.5219014876001346","0.0001654387930501","0.8277244"
"142","0.710297","0.021294168047460742","8.98976060712644e-06","-"
"143","1.030738","0.030900747412566282","6.1219023074e-06","-"
"144","1.329471","0.03985653731921392","8.1588703027941e-05","-"
